family,total_sales,avg_sales,total_onpromotion,rows
GROCERY I,343462734.886,3776.9721000043983,1914801,90936
BEVERAGES,216954486.0,2385.7931512272366,906958,90936
PRODUCE,122704684.67646,1349.352123212589,1117921,90936
CLEANING,97521289.0,1072.4167436438813,661157,90936
DAIRY,64487709.0,709.1548891528108,728707,90936
BREAD/BAKERY,42133945.576369,463.3362538089316,331289,90936
POULTRY,31876004.471721,350.53229163060837,226421,90936
MEATS,31086468.4040749,341.84996485522674,304028,90936
PERSONAL CARE,24592051.0,270.43251297615905,246928,90936
DELI,24110322.468767,265.13506717655275,583316,90936
HOME CARE,16022744.0,176.19802938330255,197230,90936
EGGS,15588296.0,171.4205155274039,194922,90936
FROZEN FOODS,14073887.7199105,154.76695390066092,125634,90936
PREPARED FOODS,8799895.1169425,96.77020230648479,37524,90936
"LIQUOR,WINE,BEER",7746640.0,85.18782440397642,46700,90936
SEAFOOD,2015431.8828236,22.163190406699215,39052,90936
GROCERY II,1962767.0,21.58404812175596,7347,90936
HOME AND KITCHEN I,1861491.0,20.470341778833465,46921,90936
HOME AND KITCHEN II,1520670.0,16.722420163631565,32814,90936
CELEBRATION,761177.0,8.370469341075042,6723,90936
LINGERIE,653114.0,7.182128090085334,2815,90936
LADIESWEAR,651159.0,7.16062945368171,1680,90936
PLAYERS AND ELECTRONICS,562608.0,6.186856690419636,1874,90936
AUTOMOTIVE,554822.0,6.101236034133897,4783,90936
LAWN AND GARDEN,548842.0,6.035475499252222,11208,90936
PET SUPPLIES,356584.0,3.9212633060614057,3250,90936
BEAUTY,337893.0,3.7157231459487994,13483,90936
SCHOOL AND OFFICE SUPPLIES,269316.0,2.9615993665874902,14565,90936
MAGAZINES,266359.0,2.9290819917304476,297,90936
HARDWARE,103470.0,1.1378332013723937,163,90936
HOME APPLIANCES,41601.0,0.45747558722618104,58,90936
BABY CARE,10051.0,0.11052828362804609,53,90936
BOOKS,6438.0,0.07079704407495381,0,90936
