bien,missing_after,missing_rate_after
Clothing ID,0,0.0
Age,0,0.0
Title,0,0.0
Review Text,0,0.0
Rating,0,0.0
Recommended IND,0,0.0
Positive Feedback Count,0,0.0
Division Name,0,0.0
Department Name,0,0.0
Class Name,0,0.0
Review Text Length,0,0.0
Title Length,0,0.0
Word Count,0,0.0
Has Title,0,0.0
Has Review Text,0,0.0
Recommended Label,0,0.0
Sentiment Label,0,0.0
Age Group,0,0.0
Age_capped_1_99,0,0.0
Positive Feedback Count_capped_1_99,0,0.0
Review Text Length_capped_1_99,0,0.0
Title Length_capped_1_99,0,0.0
Word Count_capped_1_99,0,0.0
