,count,mean,std,min,25%,50%,75%,max
Clothing ID,23465.0,918.0968250585979,203.36203543705764,0.0,861.0,936.0,1078.0,1205.0
Age,23465.0,43.20012784998934,12.280712384729954,18.0,34.0,41.0,52.0,99.0
Rating,23465.0,4.195354783720434,1.1102783150634652,1.0,4.0,5.0,5.0,5.0
Recommended IND,23465.0,0.8222032814830599,0.38234967710969775,0.0,1.0,1.0,1.0,1.0
Positive Feedback Count,23465.0,2.5382058384828468,5.704247698251617,0.0,0.0,1.0,3.0,122.0
Review Text Length,23465.0,298.15529512039205,151.78163065307677,9.0,174.0,292.0,451.0,508.0
Title Length,23465.0,17.304922224589813,9.67567151284468,2.0,9.0,15.0,23.0,52.0
Word Count,23465.0,58.15133177072235,30.008587545820088,2.0,34.0,57.0,87.0,115.0
Has Title,23465.0,0.8385254634562114,0.36797592469565854,0.0,1.0,1.0,1.0,1.0
Has Review Text,23465.0,0.9648412529298956,0.18418484005096958,0.0,1.0,1.0,1.0,1.0
Age_capped_1_99,23465.0,43.149797570850204,12.090197691617904,21.0,34.0,41.0,52.0,74.0
Positive Feedback Count_capped_1_99,23465.0,2.388962284253143,4.477207408185705,0.0,0.0,1.0,3.0,26.0
Review Text Length_capped_1_99,23465.0,298.15077775410185,151.77552345080272,9.0,174.0,292.0,451.0,502.0
Title Length_capped_1_99,23465.0,17.289665459194545,9.613357602109264,4.0,9.0,15.0,23.0,47.0
Word Count_capped_1_99,23465.0,58.13240997229917,29.97724418394099,2.0,34.0,57.0,87.0,106.0
