bien,co_truoc,co_sau,missing_truoc,missing_sau,so_gia_tri_phan_biet_truoc,so_gia_tri_phan_biet_sau,ghi_chu
Age,True,True,0,0,77,77,Giữ lại và/hoặc làm sạch
Age Group,False,True,,0,,6,Tạo mới khi tiền xử lý/feature engineering
Age_capped_1_99,False,True,,0,,54,Tạo mới khi tiền xử lý/feature engineering
Class Name,True,True,14,0,20,21,Giữ lại và/hoặc làm sạch
Clothing ID,True,True,0,0,1206,1206,Giữ lại và/hoặc làm sạch
Department Name,True,True,14,0,6,7,Giữ lại và/hoặc làm sạch
Division Name,True,True,14,0,3,4,Giữ lại và/hoặc làm sạch
Has Review Text,False,True,,0,,2,Tạo mới khi tiền xử lý/feature engineering
Has Title,False,True,,0,,2,Tạo mới khi tiền xử lý/feature engineering
Positive Feedback Count,True,True,0,0,82,82,Giữ lại và/hoặc làm sạch
Positive Feedback Count_capped_1_99,False,True,,0,,27,Tạo mới khi tiền xử lý/feature engineering
Rating,True,True,0,0,5,5,Giữ lại và/hoặc làm sạch
Recommended IND,True,True,0,0,2,2,Giữ lại và/hoặc làm sạch
Recommended Label,False,True,,0,,2,Tạo mới khi tiền xử lý/feature engineering
Review Text,True,True,845,0,22634,22635,Giữ lại và/hoặc làm sạch
Review Text Length,True,True,845,0,497,497,Giữ lại và/hoặc làm sạch
Review Text Length_capped_1_99,False,True,,0,,491,Tạo mới khi tiền xử lý/feature engineering
Sentiment Label,True,True,0,0,3,3,Giữ lại và/hoặc làm sạch
Title,True,True,3810,0,13993,13994,Giữ lại và/hoặc làm sạch
Title Length,True,True,3810,0,51,51,Giữ lại và/hoặc làm sạch
Title Length_capped_1_99,False,True,,0,,44,Tạo mới khi tiền xử lý/feature engineering
Unnamed: 0,True,False,0,,23486,,Đã loại bỏ vì là chỉ mục dư thừa
Word Count,False,True,,0,,114,Tạo mới khi tiền xử lý/feature engineering
Word Count_capped_1_99,False,True,,0,,105,Tạo mới khi tiền xử lý/feature engineering
